HUGO	Label	UNIPROT_KB_ID	Length	u
HDAC7	LABEL	Q8WUI4	952	https://www.uniprot.org/uniprotkb/Q8WUI4
HDAC7	LABEL	Q9UKV0	1011	https://www.uniprot.org/uniprotkb/Q9UKV0
HDC	LABEL	P19113	662	https://www.uniprot.org/uniprotkb/P19113
HDC	LABEL	Q9UBI9	543	https://www.uniprot.org/uniprotkb/Q9UBI9
KCNG3	LABEL	Q8TAE7	436	https://www.uniprot.org/uniprotkb/Q8TAE7
KCNG3	LABEL	Q8TDN1	519	https://www.uniprot.org/uniprotkb/Q8TDN1
KCNJ14	LABEL	Q99712	375	https://www.uniprot.org/uniprotkb/Q99712
KCNJ14	LABEL	Q9UNX9	436	https://www.uniprot.org/uniprotkb/Q9UNX9
KCNK2	LABEL	O95069	426	https://www.uniprot.org/uniprotkb/O95069
KCNK2	LABEL	Q13303	367	https://www.uniprot.org/uniprotkb/Q13303
KCNMB2	LABEL	Q9NPA1	279	https://www.uniprot.org/uniprotkb/Q9NPA1
KCNMB2	LABEL	Q9Y691	235	https://www.uniprot.org/uniprotkb/Q9Y691
MET	LABEL	P08581	1390	https://www.uniprot.org/uniprotkb/P08581
MET	LABEL	Q9NWH9	1034	https://www.uniprot.org/uniprotkb/Q9NWH9
MIF	LABEL	P03971	560	https://www.uniprot.org/uniprotkb/P03971
MIF	LABEL	P14174	115	https://www.uniprot.org/uniprotkb/P14174
MMP20	LABEL	O60882	483	https://www.uniprot.org/uniprotkb/O60882
MMP20	LABEL	Q9NPA2	562	https://www.uniprot.org/uniprotkb/Q9NPA2
MMP21	LABEL	O75900	390	https://www.uniprot.org/uniprotkb/O75900
MMP21	LABEL	Q8N119	569	https://www.uniprot.org/uniprotkb/Q8N119
MMP25	LABEL	Q9H239	520	https://www.uniprot.org/uniprotkb/Q9H239
MMP25	LABEL	Q9NPA2	562	https://www.uniprot.org/uniprotkb/Q9NPA2
NOS1	LABEL	P29475	1434	https://www.uniprot.org/uniprotkb/P29475
NOS1	LABEL	Q8WY41	292	https://www.uniprot.org/uniprotkb/Q8WY41
NOS2	LABEL	P35228	1153	https://www.uniprot.org/uniprotkb/P35228
NOS2	LABEL	P60321	138	https://www.uniprot.org/uniprotkb/P60321
NOS3	LABEL	P29474	1203	https://www.uniprot.org/uniprotkb/P29474
NOS3	LABEL	P60323	173	https://www.uniprot.org/uniprotkb/P60323
NRP1	LABEL	O14786	923	https://www.uniprot.org/uniprotkb/O14786
NRP1	LABEL	Q92832	810	https://www.uniprot.org/uniprotkb/Q92832
PAK1	LABEL	Q13153	545	https://www.uniprot.org/uniprotkb/Q13153
PAK1	LABEL	Q16512	942	https://www.uniprot.org/uniprotkb/Q16512
PDK1	LABEL	O15530	556	https://www.uniprot.org/uniprotkb/O15530
PDK1	LABEL	Q15118	436	https://www.uniprot.org/uniprotkb/Q15118
PKD1	LABEL	P98161	4303	https://www.uniprot.org/uniprotkb/P98161
PKD1	LABEL	Q15139	912	https://www.uniprot.org/uniprotkb/Q15139
PKD2	LABEL	Q13563	968	https://www.uniprot.org/uniprotkb/Q13563
PKD2	LABEL	Q9BZL6	878	https://www.uniprot.org/uniprotkb/Q9BZL6
PNP	LABEL	P00491	289	https://www.uniprot.org/uniprotkb/P00491
PNP	LABEL	P01298	95	https://www.uniprot.org/uniprotkb/P01298
PREP	LABEL	P48147	710	https://www.uniprot.org/uniprotkb/P48147
PREP	LABEL	Q5JRX3	1037	https://www.uniprot.org/uniprotkb/Q5JRX3
PRKACA	LABEL	P17252	672	https://www.uniprot.org/uniprotkb/P17252
PRKACA	LABEL	P17612	351	https://www.uniprot.org/uniprotkb/P17612
PRKCH	LABEL	C0HM02	26	https://www.uniprot.org/uniprotkb/C0HM02
PRKCH	LABEL	P24723	683	https://www.uniprot.org/uniprotkb/P24723
PTGER2	LABEL	P35408	488	https://www.uniprot.org/uniprotkb/P35408
PTGER2	LABEL	P43116	358	https://www.uniprot.org/uniprotkb/P43116
RAC3	LABEL	P60763	192	https://www.uniprot.org/uniprotkb/P60763
RAC3	LABEL	Q9Y6Q9	1424	https://www.uniprot.org/uniprotkb/Q9Y6Q9
RBP1	LABEL	O95153	1857	https://www.uniprot.org/uniprotkb/O95153
RBP1	LABEL	P09455	135	https://www.uniprot.org/uniprotkb/P09455
RBP1	LABEL	P29374	1257	https://www.uniprot.org/uniprotkb/P29374
REN	LABEL	P00797	406	https://www.uniprot.org/uniprotkb/P00797
REN	LABEL	Q693B1	232	https://www.uniprot.org/uniprotkb/Q693B1
SELP	LABEL	P16109	830	https://www.uniprot.org/uniprotkb/P16109
SELP	LABEL	P49908	381	https://www.uniprot.org/uniprotkb/P49908
SLC23A1	LABEL	Q9UGH3	650	https://www.uniprot.org/uniprotkb/Q9UGH3
SLC23A1	LABEL	Q9UHI7	598	https://www.uniprot.org/uniprotkb/Q9UHI7
SLC6A5	LABEL	P23975	617	https://www.uniprot.org/uniprotkb/P23975
SLC6A5	LABEL	Q9Y345	797	https://www.uniprot.org/uniprotkb/Q9Y345
SMO	LABEL	Q99835	787	https://www.uniprot.org/uniprotkb/Q99835
SMO	LABEL	Q9NWM0	555	https://www.uniprot.org/uniprotkb/Q9NWM0
TCF4	LABEL	P15884	667	https://www.uniprot.org/uniprotkb/P15884
TCF4	LABEL	Q9NQB0	619	https://www.uniprot.org/uniprotkb/Q9NQB0
TNNC1	LABEL	P19429	210	https://www.uniprot.org/uniprotkb/P19429
TNNC1	LABEL	P63316	161	https://www.uniprot.org/uniprotkb/P63316
TRPC7	LABEL	O94759	1503	https://www.uniprot.org/uniprotkb/O94759
TRPC7	LABEL	Q9HCX4	862	https://www.uniprot.org/uniprotkb/Q9HCX4
TSPO	LABEL	B1AH88	102	https://www.uniprot.org/uniprotkb/B1AH88
TSPO	LABEL	P30536	169	https://www.uniprot.org/uniprotkb/P30536
USP10	LABEL	Q14694	798	https://www.uniprot.org/uniprotkb/Q14694
USP10	LABEL	Q8NFA0	1604	https://www.uniprot.org/uniprotkb/Q8NFA0
